id	country	year
A_Washington_71_2022	USA	2010
A_Arizona_8_2020	Australia	2011
A_Maryland_7_2020	UK	2012
A_Vermont_2_2020	Philippines	2013
A_Minnesota_23_2020	England	2014
A_Louisiana_2_2020	USA	2015
A_Wisconsin_33_2020	Australia	2010
A_Delaware_1_2020	UK	2011
A_Minnesota_21_2020	Philippines	2012
A_Iowa_17_2020	England	2013
A_California_52_2020	USA	2014
A_NewYork_6_2021	Australia	2015
A_Louisiana_7_2021	UK	2010
A_Louisiana_10_2021	Philippines	2011
A_Kansas_4_2022	England	2012
A_SouthCarolina_2_2021	USA	2013
A_Connecticut_11_2021	Australia	2014
A_Nebraska_3_2021	UK	2015
A_Delaware_5_2022	Philippines	2010
A_Colorado_6_2021	England	2011
A_Washington_3_2021	USA	2012
A_Arkansas_3_2022	Australia	2013
A_Nebraska_2_2021	UK	2014
A_California_58_2021	Philippines	2015
A_California_89_2022	England	2010
A_Montana_3_2023	USA	2011
A_Nevada_5_2022	Australia	2012
A_Delaware_2_2024	UK	2013
A_Washington_43_2023	Philippines	2014
A_Nebraska_4_2024	England	2015
A_Arkansas_7_2024	USA	2010
A_WestVirginia_3_2024	Australia	2011
A_Massachusetts_52_2023	UK	2012
A_Iowa_10_2024	Philippines	2013
A_Iowa_3_2024	England	2014
A_Illinois_6_2024	USA	2015
A_Iowa_2_2024	Australia	2010
A_Illinois_5_2024	UK	2011
A_Illinois_3_2024	Philippines	2012
A_Florida_74_2023	England	2013
A_RhodeIsland_79_2022	USA	2014
A_Wisconsin_31_2023	Australia	2015
A_Louisiana_1_2023	UK	2010
A_Colorado_9_2023	Philippines	2011
A_Mississippi_46_2022	England	2012
A_SouthDakota_51_2022	USA	2013
A_Wisconsin_7_2023	Australia	2014
A_RhodeIsland_7_2023	UK	2015
A_NewMexico_31_2022	Philippines	2010
A_NorthDakota_8_2023	England	2011
